n_topics,n_words,coherence
15,5,0.585776687099628
25,5,0.5828794731383927
20,5,0.55980217749089
10,5,0.5404193935698326
25,25,0.5208461758047941
25,20,0.5208461758047941
25,15,0.5208461758047941
25,10,0.5208461758047941
15,10,0.4896791076640943
15,25,0.4896791076640943
15,20,0.4896791076640943
15,15,0.4896791076640943
5,5,0.4827342918820194
20,10,0.48167484200268484
20,15,0.48167484200268484
20,20,0.48167484200268484
20,25,0.48167484200268484
10,25,0.44459862580050724
10,20,0.44459862580050724
10,15,0.44459862580050724
10,10,0.44459862580050724
5,10,0.3351043520639647
5,25,0.3351043520639647
5,20,0.3351043520639647
5,15,0.3351043520639647
